mz	p.value	t.score	mode
283.1183	0.989834706	0.018620205	negative
152.0025	0.060197108	3.003406645	negative
294.145	0.385110825	1.379743488	negative
165.0718	0.709499522	0.623628928	negative
196.0887	0.793500824	0.444297763	negative
203.0821	0.878524389	0.25948526	negative
210.1044	0.776838796	0.482104826	negative
263.1028	0.968087632	0.063660773	negative
292.1073	0.734513865	0.575935933	negative
345.1061	0.905635344	0.196478695	negative
367.0881	0.946009819	0.114450722	negative
384.1825	0.949451475	-0.108583246	negative
591.1155	0.934530067	0.136175559	negative
625.1827	0.845817503	-0.32707605	negative
699.3195	0.18776633	-2.04776745	negative
284.0786	0.698032471	0.646494437	negative
301.0342	0.107590802	2.545425498	negative
344.0999	0.776426792	0.485332204	negative
426.1028	0.813830799	0.404891203	negative
395.1066	0.974505596	0.04923756	negative
433.0529	0.50669221	1.063065139	negative
169.0775	0.468268212	1.148411931	negative
201.0704	0.037150774	3.378912035	negative
515.2642	0.47778096	-1.125257942	negative
399.1939	0.335772926	1.510651863	negative
446.1388	0.42553128	1.256884373	negative
209.0457	0.895792229	-0.214196543	negative
211.0977	0.021145072	3.761233257	negative
233.0842	0.262324965	1.751429752	negative
381.1836	0.083079871	-2.767758118	negative
220.0284	0.688605444	-0.667089243	negative
344.0783	0.054061837	-3.092572508	negative
533.1869	0.030053918	-3.531206053	negative
397.1336	0.450582991	1.185595774	negative
381.1385	0.141054154	2.303150959	negative
237.0911	6.29E-05	9.953555052	negative
455.0966	0.06244239	-2.975949261	negative
196.0835	0.243775188	1.817119853	negative
497.1667	0.510377405	1.052837162	negative
397.1337	0.262324965	1.750954691	negative
546.1474	0.173120128	2.133976427	negative
220.0284	0.426921878	1.249294011	negative
248.1032	0.254250877	1.783407708	negative
260.103	0.208710545	1.952769001	negative
350.1093	0.577023336	0.897938604	negative
368.0832	0.083079871	2.765645451	negative
196.0885	0.152504063	2.242326502	negative
413.0731	0.215639958	1.921692637	negative
150.0229	0.453503024	-1.17518172	negative
195.0822	0.133569123	2.358711648	negative
208.0648	0.878524389	-0.260703031	negative
271.0614	0.152016685	2.245751457	negative
565.1133	0.141751557	2.296694941	negative
267.0733	0.411563417	1.302581618	negative
543.1297	0.152816716	2.240139954	negative
333.0603	0.131898379	2.370395202	negative
334.0573	0.152016685	2.245289799	negative
